관광유형,명칭,우편번호,주소,도시,시군구,위도,경도
관광지,여수국가대표패러글라이딩,59623,"전라남도 여수시 망양로 225
			",전라남도 여수시,전라남도 여수시,34.77446148,127.74464429999999
관광지,만연산,58105,전라남도 화순군 화순읍 진각로(수만리),전라남도 화순군,전라남도 화순군,35.09432934,126.9950577
관광지,장성호관광지,57204,"전라남도 장성군 북하면 백양로 591-8
			",전라남도 장성군,전라남도 장성군,35.41405741,126.85106509999999
관광지,하멜 체류지와 강진 성동리 은행나무,59214,"전라남도 강진군 병영면 성동리
			",전라남도 강진군,전라남도 강진군,34.72005464,126.8200935
관광지,칠산타워,57065,"전라남도 영광군 염산면 향화로 2-10
			",전라남도 영광군,전라남도 영광군,35.16867421,126.3603176
관광지,우암 송시열 글쓴바위,59163,전라남도 완도군 보길면중통리 산 1-1,전라남도 완도군,전라남도 완도군,34.15710889,126.62348529999998
관광지,초도(여수),59789,전라남도 여수시 삼산면초도리,전라남도 여수시,전라남도 여수시,34.22858337,127.24280449999999
관광지,진도 소포검정쌀마을,58946,"전라남도 진도군 지산면 소포길 119-4
			",전라남도 진도군,전라남도 진도군,34.48297393,126.20263130000001
관광지,순천만 화포포구,58030,"전라남도 순천시 별량면 학산리
			",전라남도 순천시,전라남도 순천시,34.850818,127.4919534
관광지,상서마을 옛 돌담길,59150,"전라남도 완도군 청산면 상동길 91-1
			",전라남도 완도군,전라남도 완도군,34.17615307,126.9067962
관광지,화순성화명도로수축시주목록암각기문,58153,"전라남도 화순군 능주면 잠정리
			",전라남도 화순군,전라남도 화순군,34.97744475,126.96320779999999
